Employee ID,Employee Name,Gender,Age,Department,Job Role,Hire Date,Employment Status,Resignation Date,Education Level,Region,Monthly Salary,Bonus,Performance Score,Overtime Hours,Attendance Rate (%),Years at Company,Job Satisfaction
EMP000041,Employee_41,Female,32,Operations,Operations Manager,2019-06-07,Resigned,2023-07-21,Diploma,Surabaya,33536488,830047,3.56,7,97.31,6.6,1
EMP000042,Employee_42,Male,27,Customer Service,Customer Support,2020-05-23,Active,,Diploma,Semarang,27820366,3433170,4.08,58,82.81,5.6,4
EMP000043,Employee_43,Male,50,Finance,Accountant,2025-07-14,Resigned,2029-02-02,High School,Surabaya,4242776,3731871,3.79,42,78.68,0.5,4
EMP000044,Employee_44,Female,47,HR,Recruiter,2023-05-01,Resigned,2027-05-25,High School,Bandung,29653938,8064710,3.9,48,92.71,2.7,2
EMP000045,Employee_45,Male,38,Logistics,Supply Chain Analyst,2024-07-01,Active,,Bachelor,Semarang,18750586,9682837,4.52,26,96.21,1.5,1
EMP000046,Employee_46,Female,23,Finance,Accountant,2018-02-09,Active,,Diploma,Bandung,16221532,5338264,4.89,45,94.6,7.9,2
EMP000047,Employee_47,Male,49,Operations,Operations Staff,2021-12-11,Active,,Master,Yogyakarta,33212439,5375696,3.43,12,87.56,4.1,5
EMP000048,Employee_48,Male,25,Marketing,SEO Specialist,2024-03-08,Active,,Bachelor,Semarang,4484050,278501,3.33,47,87.96,1.8,3
EMP000049,Employee_49,Female,29,IT,Data Analyst,2018-11-20,Active,,Bachelor,Yogyakarta,17802552,5271683,4.62,56,76.97,7.1,4
EMP000050,Employee_50,Male,35,Operations,Operations Staff,2019-12-02,Active,,Bachelor,Jakarta,4622771,750147,4.62,41,91.76,6.1,1
EMP000051,Employee_51,Male,42,IT,Data Analyst,2018-02-21,Active,,Bachelor,Bandung,12349058,652261,3.95,38,82.19,7.9,3
EMP000052,Employee_52,Male,51,HR,Recruiter,2025-02-27,Active,,Diploma,Yogyakarta,27328881,5593311,3.11,34,75.54,0.8,5
EMP000053,Employee_53,Female,44,Finance,Accountant,2022-10-31,Active,,High School,Yogyakarta,27875687,3547444,2.87,20,89.98,3.2,1
EMP000054,Employee_54,Male,48,Logistics,Supply Chain Analyst,2020-06-28,Active,,Bachelor,Medan,33011931,7048859,4.47,59,76.23,5.5,4
EMP000055,Employee_55,Female,41,Customer Service,Call Center,2023-01-02,Active,,Diploma,Yogyakarta,8533762,3035226,3.41,3,78.57,3.0,5
EMP000056,Employee_56,Male,45,Marketing,Marketing Executive,2021-06-16,Active,,Bachelor,Semarang,27286156,3274303,3.17,21,80.71,4.5,2
EMP000057,Employee_57,Male,31,IT,System Admin,2018-03-06,Active,,High School,Bandung,13159054,3180841,3.25,39,95.19,7.8,1
EMP000058,Employee_58,Male,50,Operations,Operations Staff,2018-01-29,Active,,High School,Surabaya,14803494,6532311,3.08,14,80.34,7.9,2
EMP000059,Employee_59,Female,44,Finance,Financial Analyst,2021-01-25,Active,,Diploma,Jakarta,6259702,5409144,3.28,48,91.79,4.9,5
EMP000060,Employee_60,Female,23,Finance,Accountant,2019-10-03,Active,,Master,Yogyakarta,23873435,6674485,4.53,59,95.31,6.2,1
EMP000061,Employee_61,Male,48,Operations,Operations Manager,2018-03-09,Active,,High School,Semarang,6250006,5825287,3.25,26,90.79,7.8,1
EMP000062,Employee_62,Male,58,Sales,Sales Manager,2019-09-24,Active,,Master,Yogyakarta,34206132,594676,2.71,28,79.87,6.3,4
EMP000063,Employee_63,Male,24,Sales,Sales Executive,2021-01-23,Resigned,2022-01-18,Master,Yogyakarta,23469311,2002537,3.56,4,95.65,4.9,4
EMP000064,Employee_64,Female,50,Sales,Sales Manager,2018-07-06,Active,,Bachelor,Bandung,19580637,9281662,2.97,0,70.75,7.5,3
EMP000065,Employee_65,Male,44,Sales,Sales Executive,2022-11-06,Active,,Diploma,Surabaya,18703059,8372872,4.86,18,80.31,3.2,3
EMP000066,Employee_66,Male,43,Sales,Sales Executive,2018-12-01,Active,,Master,Jakarta,17743861,4853539,4.2,40,78.62,7.1,2
EMP000067,Employee_67,Male,24,IT,Data Analyst,2022-08-24,Active,,Diploma,Medan,5669052,8724589,3.72,33,75.08,3.4,1
EMP000068,Employee_68,Male,50,Sales,Sales Executive,2019-08-14,Active,,Bachelor,Medan,6787234,6717431,3.91,11,92.89,6.4,2
EMP000069,Employee_69,Male,29,Marketing,Marketing Executive,2018-10-20,Resigned,2023-04-12,Master,Jakarta,34229487,708489,4.17,42,80.16,7.2,4
EMP000070,Employee_70,Female,21,Operations,Operations Manager,2024-07-18,Active,,Bachelor,Surabaya,19650481,2418211,3.1,6,88.78,1.5,1
EMP000071,Employee_71,Male,53,Logistics,Supply Chain Analyst,2024-03-10,Active,,High School,Jakarta,21172922,9952659,3.84,55,73.61,1.8,4
EMP000072,Employee_72,Female,40,Customer Service,Call Center,2018-10-31,Active,,Bachelor,Medan,34382549,6798294,4.44,17,97.52,7.2,4
EMP000073,Employee_73,Male,30,HR,Recruiter,2024-09-12,Active,,Master,Medan,27776663,1059555,3.15,17,74.32,1.3,3
EMP000074,Employee_74,Male,24,HR,Recruiter,2018-05-22,Active,,High School,Semarang,6442575,154885,3.52,14,99.22,7.6,5
EMP000075,Employee_75,Male,40,Sales,Sales Manager,2020-09-21,Active,,High School,Jakarta,16292452,9198105,2.87,45,70.8,5.3,4
EMP000076,Employee_76,Female,30,Operations,Operations Manager,2019-09-15,Active,,Diploma,Yogyakarta,19271125,1193893,4.07,28,74.92,6.3,5
EMP000077,Employee_77,Male,50,Sales,Sales Executive,2024-08-14,Resigned,2029-02-26,Bachelor,Yogyakarta,11789277,6595542,4.73,33,72.45,1.4,1
EMP000078,Employee_78,Female,26,Logistics,Warehouse Staff,2019-02-09,Active,,High School,Bandung,14936783,175051,3.48,59,96.24,6.9,2
EMP000079,Employee_79,Female,58,Sales,Sales Executive,2021-08-16,Active,,Master,Yogyakarta,28598815,27802,3.36,43,82.54,4.4,4
EMP000080,Employee_80,Male,25,Operations,Operations Staff,2024-12-14,Active,,Bachelor,Yogyakarta,25097007,7374074,3.51,41,75.6,1.0,4
EMP000081,Employee_81,Female,22,HR,HR Staff,2025-11-28,Active,,Bachelor,Medan,32217499,3222053,4.37,59,79.27,0.1,2
EMP000082,Employee_82,Female,32,Operations,Operations Manager,2018-02-12,Resigned,2018-09-17,Diploma,Surabaya,31763270,717840,4.16,24,77.2,7.9,5
EMP000083,Employee_83,Female,37,Logistics,Warehouse Staff,2023-07-13,Resigned,2024-09-29,Master,Jakarta,32001521,1675303,4.82,20,99.73,2.5,1
EMP000084,Employee_84,Male,47,Logistics,Supply Chain Analyst,2021-11-18,Active,,Bachelor,Yogyakarta,22411008,7609504,4.36,24,82.09,4.1,1
EMP000085,Employee_85,Female,25,Marketing,Marketing Executive,2022-11-02,Active,,Master,Yogyakarta,33828642,7603173,2.94,1,89.02,3.2,4
EMP000086,Employee_86,Female,54,Logistics,Warehouse Staff,2021-09-28,Active,,Diploma,Jakrta,25228608,8240136,4.67,39,94.47,4.3,3
EMP000087,Employee_87,Male,40,Sales,Sales Manager,2025-01-30,Active,,High School,Yogyakarta,25446436,2526183,4.19,46,75.99,0.9,1
EMP000088,Employee_88,Female,49,HR,HR Staff,2019-10-01,Active,,Bachelor,Yogyakarta,20780699,348183,4.91,39,80.72,6.3,4
EMP000089,Employee_89,Female,41,Logistics,Warehouse Staff,2020-06-30,Active,,Master,Medan,12950573,1108560,3.39,58,74.31,5.5,1
EMP000090,Employee_90,Male,54,Logistics,Supply Chain Analyst,2019-12-23,Active,,Bachelor,Surabaya,27381875,7189937,3.29,53,77.55,6.0,5
EMP000091,Employee_91,Female,30,Finance,Financial Analyst,2022-04-28,Resigned,2025-05-22,High School,Surabaya,32434166,5251454,4.16,15,99.43,3.7,1
EMP000092,Employee_92,Female,43,IT,System Admin,2018-07-09,Active,,Bachelor,Surabaya,11785036,5664262,4.06,39,98.41,7.5,4
EMP000093,Employee_93,Male,57,Finance,Financial Analyst,2024-03-18,Active,,Diploma,Surabaya,19403995,9410354,4.85,56,78.29,1.8,4
EMP000094,Employee_94,Male,53,Customer Service,Call Center,2024-02-28,Active,,Master,Jakarta,15034857,2680123,2.84,14,96.88,1.8,4
EMP000095,Employee_95,Female,49,Customer Service,Call Center,2023-03-31,Active,,Bachelor,Yogyakarta,26038008,8634608,4.66,55,93.83,2.8,3
EMP000096,Employee_96,Male,25,Sales,Sales Executive,2018-09-10,Active,,Diploma,Semarang,19278738,9744724,3.24,11,71.43,7.3,4
EMP000097,Employee_97,Female,21,Logistics,Warehouse Staff,2018-12-19,Active,,Diploma,Jakrta,16608799,1125622,3.92,0,97.54,7.0,3
EMP000098,Employee_98,Female,55,HR,HR Manager,2023-12-30,Active,,Bachelor,Medan,23101854,2279305,3.83,34,93.5,2.0,2
EMP000099,Employee_99,Female,31,Marketing,SEO Specialist,2018-07-13,Active,,Bachelor,Yogyakarta,21692138,1376304,4.04,42,94.76,7.5,4
EMP000100,Employee_100,Female,28,Sales,Sales Executive,2025-01-18,Resigned,2028-02-10,High School,Medan,12627171,1149800,4.26,7,98.37,1.0,2
EMP000101,Employee_101,Female,45,Operations,Operations Staff,2018-06-19,Active,,Diploma,Medan,34385759,4927409,2.96,33,85.08,7.5,1
EMP000102,Employee_102,Female,45,Marketing,Marketing Executive,2022-06-26,Active,,Master,Yogyakarta,19611772,5340112,2.67,52,84.64,3.5,5
EMP000103,Employee_103,Male,35,HR,HR Staff,2024-12-01,Active,,Diploma,Jakarta,21525642,1423813,4.15,44,93.45,1.1,5
EMP000104,Employee_104,Female,56,Marketing,SEO Specialist,2023-04-01,Active,,High School,Semarang,31384454,6465391,3.32,59,75.84,2.8,1
EMP000105,Employee_105,Male,49,IT,System Admin,2018-05-14,Active,,Diploma,Medan,15211414,5815150,,30,72.42,7.6,2
EMP000106,Employee_106,Male,57,Logistics,Supply Chain Analyst,2019-12-12,Active,,Master,Surabaya,15279271,9931021,2.65,35,93.44,6.1,1
EMP000107,Employee_107,Female,51,Customer Service,Call Center,2023-06-20,Active,,High School,Semarang,24748102,3736265,2.7,7,85.29,2.5,3
EMP000108,Employee_108,Male,48,Customer Service,Call Center,2025-04-22,Active,,Diploma,Jakarta,12046350,7595071,3.51,32,98.82,0.7,5
EMP000109,Employee_109,Female,28,IT,System Admin,2020-04-10,Active,,Bachelor,Bandung,16830185,5395653,2.99,25,86.16,5.7,5
EMP000110,Employee_110,Male,31,Customer Service,Call Center,2019-11-26,Active,,Master,Jakarta,8511696,2636682,2.99,24,75.85,6.1,2
EMP000111,Employee_111,Male,51,Finance,Financial Analyst,2019-05-04,Active,,Bachelor,Medan,23049928,5899556,4.35,29,85.86,6.7,2
EMP000112,Employee_112,Female,42,HR,Recruiter,2018-07-18,Resigned,2023-10-16,High School,Medan,21488173,2685292,4.79,59,96.68,7.5,5
EMP000113,Employee_113,Male,53,Logistics,Supply Chain Analyst,2019-04-23,Active,,Diploma,Jakarta,19601893,9969378,3.24,43,94.54,6.7,3
EMP000114,Employee_114,Male,43,Operations,Operations Staff,2019-12-06,Active,,Diploma,Medan,14924167,5609941,3.73,6,94.74,6.1,1
EMP000115,Employee_115,Male,58,Marketing,SEO Specialist,2025-01-04,Active,,Master,Jakarta,15166260,3988653,3.76,51,72.13,1.0,5
EMP000116,Employee_116,Male,34,Operations,Operations Manager,2021-08-05,Active,,Bachelor,Surabaya,8722975,1069391,2.57,4,76.24,4.4,1
EMP000117,Employee_117,Female,31,Sales,Sales Manager,2018-06-08,Resigned,2020-07-26,Master,Jakarta,19319699,6677740,3.74,0,98.01,7.6,5
EMP000118,Employee_118,Male,28,Finance,Financial Analyst,2021-09-30,Active,,Diploma,Bandung,31017593,1076269,4.97,37,92.28,4.3,3
EMP000119,Employee_119,Male,35,Customer Service,Customer Support,2025-03-30,Active,,Bachelor,Bandung,27082360,439385,3.45,43,91.06,0.8,3
EMP000120,Employee_120,Male,39,Customer Service,Customer Support,2025-08-28,Resigned,2029-07-29,Bachelor,Surabaya,21413234,5300680,3.42,39,98.5,0.3,1
EMP000121,Employee_121,Female,53,Operations,Operations Manager,2023-12-10,Active,,Diploma,Yogyakarta,22593448,3085404,3.16,38,98.02,2.1,5
EMP000122,Employee_122,Female,54,Marketing,Marketing Executive,2019-08-05,Active,,Diploma,Yogyakarta,25968545,6352130,4.8,21,99.84,6.4,4
EMP000123,Employee_123,Male,29,Logistics,Warehouse Staff,2021-07-15,Active,,High School,Semarang,5853511,2178856,3.18,42,90.54,4.5,5
EMP000124,Employee_124,Female,22,Finance,Accountant,2018-03-01,Active,,Diploma,Yogyakarta,31384641,5191955,3.57,34,80.47,7.8,1
EMP000125,Employee_125,Male,41,Finance,Financial Analyst,2022-11-17,Active,,Bachelor,Yogyakarta,30280914,3800574,3.86,3,92.19,3.1,2
EMP000126,Employee_126,Female,49,HR,Recruiter,2020-07-04,Active,,Master,Jakarta,34676026,7935988,4.46,8,92.2,5.5,4
EMP000127,Employee_127,Male,33,IT,Software Engineer,2019-10-01,Active,,High School,Medan,13694486,7257881,2.61,12,84.44,6.3,5
EMP000128,Employee_128,Female,33,Logistics,Warehouse Staff,2025-12-12,Active,,High School,Jakarta,13887526,8981344,3.83,4,90.11,0.1,5
EMP000129,Employee_129,Female,52,IT,System Admin,2025-08-22,Active,,Diploma,Surabaya,20495775,4971516,4.11,53,82.33,0.4,1
EMP000130,Employee_130,Male,31,Marketing,SEO Specialist,2019-01-28,Active,,Master,Medan,4441620,127132,3.57,22,75.61,6.9,2
EMP000131,Employee_131,Male,21,IT,Software Engineer,2023-02-27,Active,,Diploma,Semarang,7909519,165871,4.21,7,88.53,2.8,1
EMP000132,Employee_132,Female,32,IT,Software Engineer,2021-07-23,Active,,Master,Semarang,25794347,8431237,3.89,37,75.72,4.4,5
EMP000133,Employee_133,Male,48,IT,System Admin,2022-01-24,Active,,Bachelor,Yogyakarta,5314371,8874136,4.09,49,95.78,3.9,2
EMP000134,Employee_134,Male,30,Sales,Sales Manager,2020-01-06,Active,,High School,Jakarta,6176447,8553862,3.57,37,77.16,6.0,2
EMP000135,Employee_135,Male,56,Customer Service,Customer Support,2022-06-25,Active,,High School,Jakarta,23115185,9978630,2.92,25,70.46,3.5,3
EMP000136,Employee_136,Male,29,Logistics,Supply Chain Analyst,2024-07-06,Active,,Bachelor,Medan,12656617,523875,4.98,28,75.3,1.5,5
EMP000137,Employee_137,Female,22,Finance,Financial Analyst,2018-12-14,Active,,High School,Jakarta,4632903,4879875,3.41,49,91.79,7.1,4
EMP000138,Employee_138,Male,23,Sales,Sales Executive,2019-05-17,Active,,Bachelor,Yogyakarta,4025771,8713713,3.52,57,84.52,6.6,3
EMP000139,Employee_139,Female,50,HR,Recruiter,2025-09-05,Active,,High School,Jakarta,4123806,6551907,3.7,19,84.46,0.3,3
EMP000140,Employee_140,Male,54,Logistics,Warehouse Staff,2019-04-23,Active,,Master,Jakrta,31953748,541889,,27,93.63,6.7,1
EMP000141,Employee_141,Male,36,Sales,Sales Manager,2024-06-11,Active,,Bachelor,Surabaya,22866009,8801144,3.93,60,92.66,1.6,5
EMP000142,Employee_142,Female,49,Marketing,Marketing Executive,2024-06-18,Active,,Bachelor,Medan,29575601,3703512,2.66,55,88.26,1.5,2
EMP000143,Employee_143,Male,28,HR,HR Manager,2020-02-29,Resigned,2024-07-24,Master,Yogyakarta,14489008,105394,3.68,27,94.78,5.8,5
EMP000144,Employee_144,Male,23,Finance,Accountant,2022-10-19,Active,,Bachelor,Jakarta,23414816,6647675,3.39,30,74.36,3.2,4
EMP000145,Employee_145,Female,42,IT,System Admin,2025-10-07,Active,,Diploma,Semarang,13777214,7655040,4.6,27,85.34,0.2,3
EMP000146,Employee_146,Male,28,Marketing,SEO Specialist,2023-11-05,Active,,Master,Surabaya,20382040,6712447,4.66,7,97.09,2.2,1
EMP000147,Employee_147,Female,46,Logistics,Supply Chain Analyst,2022-10-13,Active,,Diploma,Yogyakarta,8556143,4661935,3.29,28,95.62,3.2,3
EMP000148,Employee_148,Male,40,Finance,Accountant,2023-01-15,Active,,Master,Yogyakarta,16139873,6973974,2.86,21,85.58,3.0,1
EMP000149,Employee_149,Male,44,Finance,Accountant,2019-05-19,Active,,Diploma,Jakarta,9274328,9220362,4.71,26,78.27,6.6,1
EMP000150,Employee_150,Female,50,Customer Service,Call Center,2025-12-30,Active,,Diploma,Bandung,33215353,4615703,3.5,5,99.85,0.0,5
EMP000151,Employee_151,Female,48,IT,Data Analyst,2022-07-31,Active,,Master,Medan,21491138,8955620,4.61,43,72.56,3.4,5
EMP000152,Employee_152,Female,54,Sales,Sales Manager,2022-03-24,Active,,Master,Semarang,16693188,1167314,3.49,14,82.67,3.8,3
EMP000153,Employee_153,Male,30,Sales,Sales Manager,2021-01-17,Active,,High School,Yogyakarta,32823158,6862427,4.43,54,84.46,5.0,4
EMP000154,Employee_154,Female,33,Customer Service,Call Center,2022-08-10,Active,,Diploma,Semarang,28309984,1416129,4.12,4,76.61,3.4,4
EMP000155,Employee_155,Male,26,Finance,Financial Analyst,2021-09-19,Resigned,2025-04-16,Master,Medan,6059206,4536900,2.86,32,77.77,4.3,1
EMP000156,Employee_156,Female,24,Sales,Sales Executive,2020-07-19,Resigned,2024-04-25,High School,Yogyakarta,6452317,2819644,2.93,51,77.29,5.5,1
EMP000157,Employee_157,Male,45,Operations,Operations Staff,2025-04-04,Active,,Diploma,Medan,32900725,7066089,2.88,50,73.66,0.7,2
EMP000158,Employee_158,Male,38,Finance,Accountant,2023-03-27,Active,,Master,Bandung,33377403,2083732,4.17,51,91.46,2.8,4
EMP000159,Employee_159,Male,24,Marketing,SEO Specialist,2024-04-02,Active,,High School,Jakarta,13119893,2930962,4.24,48,77.72,1.7,2
EMP000160,Employee_160,Male,38,Marketing,SEO Specialist,2020-01-14,Active,,Diploma,Semarang,32944324,4013376,3.49,1,97.99,6.0,3
EMP000161,Employee_161,Male,41,Operatons,Financial Analyst,2020-02-23,Active,,Master,Surabaya,29248483,8379602,2.67,39,83.54,5.9,1
EMP000162,Employee_162,Female,26,Customer Service,Customer Support,2021-02-03,Active,,High School,Bandung,33941696,6884194,,40,90.99,4.9,1
EMP000163,Employee_163,Male,40,Operatons,Data Analyst,2021-07-27,Resigned,2025-07-12,Master,Bandung,24593504,6327639,4.82,53,81.06,4.4,5
EMP000164,Employee_164,Male,56,Logistics,Supply Chain Analyst,2023-06-21,Active,,Master,Bandung,33349891,8271664,3.88,40,99.4,2.5,3
EMP000165,Employee_165,Female,53,Customer Service,Call Center,2024-02-08,Resigned,2025-09-01,Master,Bandung,20761584,5722957,3.67,58,92.27,1.9,2
EMP000166,Employee_166,Male,22,Sales,Sales Executive,2021-09-10,Active,,High School,Jakarta,29562559,5302382,4.8,6,76.96,4.3,5
EMP000167,Employee_167,Male,27,Marketing,Marketing Executive,2024-10-11,Active,,High School,Bandung,5515642,2451662,,52,81.88,1.2,2
EMP000168,Employee_168,Female,42,Marketing,SEO Specialist,2025-12-24,Active,,Master,Surabaya,16392661,2614435,3.64,49,73.09,0.0,3
EMP000169,Employee_169,Female,23,Logistics,Warehouse Staff,2018-01-29,Active,,Diploma,Bandung,34610367,2003280,4.14,23,72.3,7.9,3
EMP000170,Employee_170,Male,31,Marketing,SEO Specialist,2025-02-02,Active,,Bachelor,Surabaya,29484137,4261705,2.93,55,91.02,0.9,1
EMP000171,Employee_171,Female,43,Operations,Operations Manager,2021-05-18,Active,,Bachelor,Surabaya,31897597,7376524,3.83,53,80.24,4.6,2
EMP000172,Employee_172,Female,43,Operations,Operations Staff,2020-03-31,Active,,Diploma,Bandung,24153274,3192693,2.78,40,92.66,5.8,4
EMP000173,Employee_173,Male,27,Sales,Sales Manager,2023-09-06,Active,,Bachelor,Medan,10090959,5385108,4.66,43,84.81,2.3,1
EMP000174,Employee_174,Female,25,Marketing,Marketing Executive,2024-03-06,Active,,Master,Medan,27616123,6656604,4.12,23,71.01,1.8,3
EMP000175,Employee_175,Female,41,IT,Data Analyst,2019-05-17,Active,,Bachelor,Surabaya,27326774,3015252,3.55,39,92.27,6.6,4
EMP000176,Employee_176,Male,54,IT,System Admin,2018-05-14,Active,,High School,Surabaya,10362718,7892702,3.23,55,98.84,7.6,4
EMP000177,Employee_177,Female,21,Customer Service,Customer Support,2021-01-06,Active,,Diploma,Yogyakarta,13471503,6971386,2.52,53,73.27,5.0,4
EMP000178,Employee_178,Female,49,Sales,Sales Executive,2022-11-17,Active,,High School,Surabaya,34988522,7713218,2.6,21,98.25,3.1,5
EMP000179,Employee_179,Male,39,IT,Software Engineer,2020-08-10,Resigned,2022-12-08,High School,Bandung,9136066,5950977,2.95,55,96.29,5.4,5
EMP000180,Employee_180,Male,57,Operations,Operations Staff,2022-01-02,Active,,Master,Bandung,25605727,9891626,3.59,6,80.27,4.0,1
EMP000181,Employee_181,Female,32,Customer Service,Customer Support,2020-01-06,Active,,Master,Jakrta,31988990,7537169,2.68,10,72.29,6.0,2
EMP000182,Employee_182,Female,37,Sales,Sales Executive,2024-06-04,Active,,High School,Yogyakarta,22062332,4414737,2.91,30,86.64,1.6,2
EMP000183,Employee_183,Female,39,Finance,Financial Analyst,2018-09-26,Resigned,2023-08-25,High School,Semarang,29388219,6750339,4.62,29,82.87,7.3,2
