Employee ID;Employee Name;Gender;Age;Department;Job Role;Hire Date;Employment Status;Resignation Date;Education Level;Region;Monthly Salary;Salary Category;Bonus;Performance Score;Overtime Hours;Attendance Rate (%);Years at Company;Job Satisfaction
EMP000021;Employee_21;Male;40;HR;HR Manager;22/09/2022;Active;;Diploma;Bandung;Rp17.946.419,00;Rp15 jt - Rp25 jt;Rp8.283.784,00;3,88;9;92,81;3,7;3
EMP000022;Employee_22;Male;48;Customer Service;Customer Support;12/11/2024;Active;;High School;Bandung;Rp15.987.688,00;Rp15 jt - Rp25 jt;Rp4.470.922,00;3,91;43;85,38;1,6;5
EMP000023;Employee_23;Male;23;IT;System Admin;30/08/2024;Active;;Master;Semarang;Rp33.753.077,00;>Rp25 jt;Rp2.869.011,00;3,95;59;94,82;1,8;3
EMP000024;Employee_24;Female;45;Operations;Operations Staff;27/04/2020;Resigned;26/09/2021;Master;Medan;Rp15.158.635,00;Rp15 jt - Rp25 jt;Rp5.461.541,00;3,23;9;83,81;1,4;5
EMP000025;Employee_25;Male;47;Finance;Accountant;25/06/2018;Resigned;18/04/2019;High School;Jakarta;Rp29.950.392,00;>Rp25 jt;Rp5.935.620,00;4,72;30;93,03;0,8;3
EMP000026;Employee_26;Female;36;Marketing;SEO Specialist;04/12/2019;Active;;Diploma;Jakarta;Rp23.175.329,00;Rp15 jt - Rp25 jt;Rp9.679.331,00;3,6;14;86,09;6,5;5
EMP000027;Employee_27;Male;51;Logistics;Warehouse Staff;05/03/2020;Resigned;01/01/2022;Master;Yogyakarta;Rp31.548.307,00;>Rp25 jt;Rp3.106.632,00;4,9;12;98,59;1,8;1
EMP000028;Employee_28;Female;44;Operations;Operations Staff;30/09/2023;Active;;Bachelor;Medan;Rp26.355.751,00;>Rp25 jt;Rp4.984.842,00;4,61;1;73,82;2,7;3
EMP000029;Employee_29;Female;34;Finance;Accountant;13/10/2019;Resigned;25/03/2024;High School;Medan;Rp18.806.654,00;Rp15 jt - Rp25 jt;Rp5.098.795,00;2,84;60;86,82;4,5;5
EMP000030;Employee_30;Male;42;Customer Service;Call Center;14/11/2025;Resigned;Missing Resignation Date;Diploma;Bandung;Rp6.152.842,00;Rp5 jt - Rp10 jt;Rp6.044.376,00;3,29;56;73,57;0,6;1
EMP000031;Employee_31;Male;32;Operations;Operations Manager;30/07/2024;Active;;Bachelor;Bandung;Rp24.103.248,00;Rp15 jt - Rp25 jt;Rp752.787,00;4,49;55;79,52;1,9;4
EMP000032;Employee_32;Male;35;Finance;Financial Analyst;20/08/2022;Active;;Bachelor;Medan;Rp23.612.531,00;Rp15 jt - Rp25 jt;Rp9.330.386,00;2,88;53;77,27;3,8;3
EMP000033;Employee_33;Female;28;Customer Service;Customer Support;16/04/2021;Active;;Bachelor;Yogyakarta;Rp15.952.207,00;Rp15 jt - Rp25 jt;Rp9.564.269,00;3,94;56;75,37;5,2;2
EMP000034;Employee_34;Female;55;Marketing;SEO Specialist;17/12/2019;Active;;Master;Semarang;Rp4.459.416,00;<Rp5 jt;Rp5.443.043,00;4,17;4;90,02;6,5;1
EMP000035;Employee_35;Female;26;Finance;Financial Analyst;16/09/2025;Resigned;Missing Resignation Date;Bachelor;Surabaya;Rp25.353.719,00;>Rp25 jt;Rp4.816.866,00;2,84;57;98,47;0,8;4
EMP000036;Employee_36;Male;54;Finance;Accountant;25/09/2023;Active;;Bachelor;Bandung;Rp6.809.904,00;Rp5 jt - Rp10 jt;Rp2.898.774,00;4,11;50;80,24;2,7;1
EMP000037;Employee_37;Male;49;Logistics;Supply Chain Analyst;02/12/2020;Active;;Diploma;Bandung;Rp21.462.766,00;Rp15 jt - Rp25 jt;Rp7.248.097,00;4,75;36;98,23;5,5;1
EMP000038;Employee_38;Male;38;Sales;Sales Executive;06/12/2019;Active;;Diploma;Surabaya;Rp6.905.628,00;Rp5 jt - Rp10 jt;Rp3.557.270,00;4,78;37;80,78;6,5;2
EMP000039;Employee_39;Female;40;Finance;Financial Analyst;11/07/2025;Active;;Bachelor;Surabaya;Rp20.205.317,00;Rp15 jt - Rp25 jt;Rp1.169.010,00;4,38;58;84,38;0,9;3
EMP000040;Employee_40;Female;45;Marketing;SEO Specialist;26/09/2025;Active;;High School;Yogyakarta;Rp23.131.977,00;Rp15 jt - Rp25 jt;Rp8.320.184,00;3,63;18;76,94;0,7;1
EMP000041;Employee_41;Female;32;Operations;Operations Manager;07/06/2019;Resigned;21/07/2023;Diploma;Surabaya;Rp33.536.488,00;>Rp25 jt;Rp830.047,00;3,56;7;97,31;4,1;1
EMP000042;Employee_42;Male;27;Customer Service;Customer Support;23/05/2020;Active;;Diploma;Semarang;Rp27.820.366,00;>Rp25 jt;Rp3.433.170,00;4,08;58;82,81;6,1;4
EMP000043;Employee_43;Male;50;Finance;Accountant;14/07/2025;Resigned;Missing Resignation Date;High School;Surabaya;Rp4.242.776,00;<Rp5 jt;Rp3.731.871,00;3,79;42;78,68;0,9;4
EMP000044;Employee_44;Female;47;HR;Recruiter;01/05/2023;Resigned;Missing Resignation Date;High School;Bandung;Rp29.653.938,00;>Rp25 jt;Rp8.064.710,00;3,9;48;92,71;3,1;2
EMP000045;Employee_45;Male;38;Logistics;Supply Chain Analyst;01/07/2024;Active;;Bachelor;Semarang;Rp18.750.586,00;Rp15 jt - Rp25 jt;Rp9.682.837,00;4,52;26;96,21;2;1
EMP000046;Employee_46;Female;23;Finance;Accountant;09/02/2018;Active;;Diploma;Bandung;Rp16.221.532,00;Rp15 jt - Rp25 jt;Rp5.338.264,00;4,89;45;94,6;8,4;2
EMP000047;Employee_47;Male;49;Operations;Operations Staff;11/12/2021;Active;;Master;Yogyakarta;Rp33.212.439,00;>Rp25 jt;Rp5.375.696,00;3,43;12;87,56;4,5;5
EMP000048;Employee_48;Male;25;Marketing;SEO Specialist;08/03/2024;Active;;Bachelor;Semarang;Rp4.484.050,00;<Rp5 jt;Rp278.501,00;3,33;47;87,96;2,3;3
EMP000049;Employee_49;Female;29;IT;Data Analyst;20/11/2018;Active;;Bachelor;Yogyakarta;Rp17.802.552,00;Rp15 jt - Rp25 jt;Rp5.271.683,00;4,62;56;76,97;7,6;4
EMP000050;Employee_50;Male;35;Operations;Operations Staff;02/12/2019;Active;;Bachelor;Jakarta;Rp4.622.771,00;<Rp5 jt;Rp750.147,00;4,62;41;91,76;6,5;1
EMP000051;Employee_51;Male;42;IT;Data Analyst;21/02/2018;Active;;Bachelor;Bandung;Rp12.349.058,00;Rp10 jt - Rp15 jt;Rp652.261,00;3,95;38;82,19;8,3;3
EMP000052;Employee_52;Male;51;HR;Recruiter;27/02/2025;Active;;Diploma;Yogyakarta;Rp27.328.881,00;>Rp25 jt;Rp5.593.311,00;3,11;34;75,54;1,3;5
EMP000053;Employee_53;Female;44;Finance;Accountant;31/10/2022;Active;;High School;Yogyakarta;Rp27.875.687,00;>Rp25 jt;Rp3.547.444,00;2,87;20;89,98;3,6;1
EMP000054;Employee_54;Male;48;Logistics;Supply Chain Analyst;28/06/2020;Active;;Bachelor;Medan;Rp33.011.931,00;>Rp25 jt;Rp7.048.859,00;4,47;59;76,23;6;4
EMP000055;Employee_55;Female;41;Customer Service;Call Center;02/01/2023;Active;;Diploma;Yogyakarta;Rp8.533.762,00;Rp5 jt - Rp10 jt;Rp3.035.226,00;3,41;3;78,57;3,5;5
EMP000056;Employee_56;Male;45;Marketing;Marketing Executive;16/06/2021;Active;;Bachelor;Semarang;Rp27.286.156,00;>Rp25 jt;Rp3.274.303,00;3,17;21;80,71;5;2
EMP000057;Employee_57;Male;31;IT;System Admin;06/03/2018;Active;;High School;Bandung;Rp13.159.054,00;Rp10 jt - Rp15 jt;Rp3.180.841,00;3,25;39;95,19;8,3;1
EMP000058;Employee_58;Male;50;Operations;Operations Staff;29/01/2018;Active;;High School;Surabaya;Rp14.803.494,00;Rp10 jt - Rp15 jt;Rp6.532.311,00;3,08;14;80,34;8,4;2
EMP000059;Employee_59;Female;44;Finance;Financial Analyst;25/01/2021;Active;;Diploma;Jakarta;Rp6.259.702,00;Rp5 jt - Rp10 jt;Rp5.409.144,00;3,28;48;91,79;5,4;5
EMP000060;Employee_60;Female;23;Finance;Accountant;03/10/2019;Active;;Master;Yogyakarta;Rp23.873.435,00;Rp15 jt - Rp25 jt;Rp6.674.485,00;4,53;59;95,31;6,7;1
EMP000061;Employee_61;Male;48;Operations;Operations Manager;09/03/2018;Active;;High School;Semarang;Rp6.250.006,00;Rp5 jt - Rp10 jt;Rp5.825.287,00;3,25;26;90,79;8,3;1
EMP000062;Employee_62;Male;58;Sales;Sales Manager;24/09/2019;Active;;Master;Yogyakarta;Rp34.206.132,00;>Rp25 jt;Rp594.676,00;2,71;28;79,87;6,7;4
EMP000063;Employee_63;Male;24;Sales;Sales Executive;23/01/2021;Resigned;18/01/2022;Master;Yogyakarta;Rp23.469.311,00;Rp15 jt - Rp25 jt;Rp2.002.537,00;3,56;4;95,65;1;4
EMP000064;Employee_64;Female;50;Sales;Sales Manager;06/07/2018;Active;;Bachelor;Bandung;Rp19.580.637,00;Rp15 jt - Rp25 jt;Rp9.281.662,00;2,97;0;70,75;8;3
EMP000065;Employee_65;Male;44;Sales;Sales Executive;06/11/2022;Active;;Diploma;Surabaya;Rp18.703.059,00;Rp15 jt - Rp25 jt;Rp8.372.872,00;4,86;18;80,31;3,6;3
EMP000066;Employee_66;Male;43;Sales;Sales Executive;01/12/2018;Active;;Master;Jakarta;Rp17.743.861,00;Rp15 jt - Rp25 jt;Rp4.853.539,00;4,2;40;78,62;7,6;2
EMP000067;Employee_67;Male;24;IT;Data Analyst;24/08/2022;Active;;Diploma;Medan;Rp5.669.052,00;Rp5 jt - Rp10 jt;Rp8.724.589,00;3,72;33;75,08;3,8;1
EMP000068;Employee_68;Male;50;Sales;Sales Executive;14/08/2019;Active;;Bachelor;Medan;Rp6.787.234,00;Rp5 jt - Rp10 jt;Rp6.717.431,00;3,91;11;92,89;6,8;2
EMP000069;Employee_69;Male;29;Marketing;Marketing Executive;20/10/2018;Resigned;12/04/2023;Master;Jakarta;Rp34.229.487,00;>Rp25 jt;Rp708.489,00;4,17;42;80,16;4,5;4
EMP000070;Employee_70;Female;21;Operations;Operations Manager;18/07/2024;Active;;Bachelor;Surabaya;Rp19.650.481,00;Rp15 jt - Rp25 jt;Rp2.418.211,00;3,1;6;88,78;1,9;1
EMP000071;Employee_71;Male;53;Logistics;Supply Chain Analyst;10/03/2024;Active;;High School;Jakarta;Rp21.172.922,00;Rp15 jt - Rp25 jt;Rp9.952.659,00;3,84;55;73,61;2,3;4
EMP000072;Employee_72;Female;40;Customer Service;Call Center;31/10/2018;Active;;Bachelor;Medan;Rp34.382.549,00;>Rp25 jt;Rp6.798.294,00;4,44;17;97,52;7,6;4
EMP000073;Employee_73;Male;30;HR;Recruiter;12/09/2024;Active;;Master;Medan;Rp27.776.663,00;>Rp25 jt;Rp1.059.555,00;3,15;17;74,32;1,8;3
EMP000074;Employee_74;Male;24;HR;Recruiter;22/05/2018;Active;;High School;Semarang;Rp6.442.575,00;Rp5 jt - Rp10 jt;Rp154.885,00;3,52;14;99,22;8,1;5
EMP000075;Employee_75;Male;40;Sales;Sales Manager;21/09/2020;Active;;High School;Jakarta;Rp16.292.452,00;Rp15 jt - Rp25 jt;Rp9.198.105,00;2,87;45;70,8;5,7;4
EMP000076;Employee_76;Female;30;Operations;Operations Manager;15/09/2019;Active;;Diploma;Yogyakarta;Rp19.271.125,00;Rp15 jt - Rp25 jt;Rp1.193.893,00;4,07;28;74,92;6,8;5
EMP000077;Employee_77;Male;50;Sales;Sales Executive;14/08/2024;Resigned;Missing Resignation Date;Bachelor;Yogyakarta;Rp11.789.277,00;Rp10 jt - Rp15 jt;Rp6.595.542,00;4,73;33;72,45;1,8;1
EMP000078;Employee_78;Female;26;Logistics;Warehouse Staff;09/02/2019;Active;;High School;Bandung;Rp14.936.783,00;Rp10 jt - Rp15 jt;Rp175.051,00;3,48;59;96,24;7,4;2
EMP000079;Employee_79;Female;58;Sales;Sales Executive;16/08/2021;Active;;Master;Yogyakarta;Rp28.598.815,00;>Rp25 jt;Rp27.802,00;3,36;43;82,54;4,8;4
EMP000080;Employee_80;Male;25;Operations;Operations Staff;14/12/2024;Active;;Bachelor;Yogyakarta;Rp25.097.007,00;>Rp25 jt;Rp7.374.074,00;3,51;41;75,6;1,5;4
EMP000081;Employee_81;Female;22;HR;HR Staff;28/11/2025;Active;;Bachelor;Medan;Rp32.217.499,00;>Rp25 jt;Rp3.222.053,00;4,37;59;79,27;0,6;2
EMP000082;Employee_82;Female;32;Operations;Operations Manager;12/02/2018;Resigned;17/09/2018;Diploma;Surabaya;Rp31.763.270,00;>Rp25 jt;Rp717.840,00;4,16;24;77,2;0,6;5
EMP000083;Employee_83;Female;37;Logistics;Warehouse Staff;13/07/2023;Resigned;29/09/2024;Master;Jakarta;Rp32.001.521,00;>Rp25 jt;Rp1.675.303,00;4,82;20;99,73;1,2;1
EMP000084;Employee_84;Male;47;Logistics;Supply Chain Analyst;18/11/2021;Active;;Bachelor;Yogyakarta;Rp22.411.008,00;Rp15 jt - Rp25 jt;Rp7.609.504,00;4,36;24;82,09;4,6;1
EMP000085;Employee_85;Female;25;Marketing;Marketing Executive;02/11/2022;Active;;Master;Yogyakarta;Rp33.828.642,00;>Rp25 jt;Rp7.603.173,00;2,94;1;89,02;3,6;4
EMP000086;Employee_86;Female;54;Logistics;Warehouse Staff;28/09/2021;Active;;Diploma;Jakarta;Rp25.228.608,00;>Rp25 jt;Rp8.240.136,00;4,67;39;94,47;4,7;3
EMP000087;Employee_87;Male;40;Sales;Sales Manager;30/01/2025;Active;;High School;Yogyakarta;Rp25.446.436,00;>Rp25 jt;Rp2.526.183,00;4,19;46;75,99;1,4;1
EMP000088;Employee_88;Female;49;HR;HR Staff;01/10/2019;Active;;Bachelor;Yogyakarta;Rp20.780.699,00;Rp15 jt - Rp25 jt;Rp348.183,00;4,91;39;80,72;6,7;4
EMP000089;Employee_89;Female;41;Logistics;Warehouse Staff;30/06/2020;Active;;Master;Medan;Rp12.950.573,00;Rp10 jt - Rp15 jt;Rp1.108.560,00;3,39;58;74,31;6;1
EMP000090;Employee_90;Male;54;Logistics;Supply Chain Analyst;23/12/2019;Active;;Bachelor;Surabaya;Rp27.381.875,00;>Rp25 jt;Rp7.189.937,00;3,29;53;77,55;6,5;5
EMP000091;Employee_91;Female;30;Finance;Financial Analyst;28/04/2022;Resigned;22/05/2025;High School;Surabaya;Rp32.434.166,00;>Rp25 jt;Rp5.251.454,00;4,16;15;99,43;3,1;1
EMP000092;Employee_92;Female;43;IT;System Admin;09/07/2018;Active;;Bachelor;Surabaya;Rp11.785.036,00;Rp10 jt - Rp15 jt;Rp5.664.262,00;4,06;39;98,41;7,9;4
EMP000093;Employee_93;Male;57;Finance;Financial Analyst;18/03/2024;Active;;Diploma;Surabaya;Rp19.403.995,00;Rp15 jt - Rp25 jt;Rp9.410.354,00;4,85;56;78,29;2,3;4
EMP000094;Employee_94;Male;53;Customer Service;Call Center;28/02/2024;Active;;Master;Jakarta;Rp15.034.857,00;Rp15 jt - Rp25 jt;Rp2.680.123,00;2,84;14;96,88;2,3;4
EMP000095;Employee_95;Female;49;Customer Service;Call Center;31/03/2023;Active;;Bachelor;Yogyakarta;Rp26.038.008,00;>Rp25 jt;Rp8.634.608,00;4,66;55;93,83;3,2;3
EMP000096;Employee_96;Male;25;Sales;Sales Executive;10/09/2018;Active;;Diploma;Semarang;Rp19.278.738,00;Rp15 jt - Rp25 jt;Rp9.744.724,00;3,24;11;71,43;7,8;4
EMP000097;Employee_97;Female;21;Logistics;Warehouse Staff;19/12/2018;Active;;Diploma;Jakarta;Rp16.608.799,00;Rp15 jt - Rp25 jt;Rp1.125.622,00;3,92;0;97,54;7,5;3
EMP000098;Employee_98;Female;55;HR;HR Manager;30/12/2023;Active;;Bachelor;Medan;Rp23.101.854,00;Rp15 jt - Rp25 jt;Rp2.279.305,00;3,83;34;93,5;2,5;2
EMP000099;Employee_99;Female;31;Marketing;SEO Specialist;13/07/2018;Active;;Bachelor;Yogyakarta;Rp21.692.138,00;Rp15 jt - Rp25 jt;Rp1.376.304,00;4,04;42;94,76;7,9;4
EMP000100;Employee_100;Female;28;Sales;Sales Executive;18/01/2025;Resigned;Missing Resignation Date;High School;Medan;Rp12.627.171,00;Rp10 jt - Rp15 jt;Rp1.149.800,00;4,26;7;98,37;1,4;2
EMP000101;Employee_101;Female;45;Operations;Operations Staff;19/06/2018;Active;;Diploma;Medan;Rp34.385.759,00;>Rp25 jt;Rp4.927.409,00;2,96;33;85,08;8;1
EMP000102;Employee_102;Female;45;Marketing;Marketing Executive;26/06/2022;Active;;Master;Yogyakarta;Rp19.611.772,00;Rp15 jt - Rp25 jt;Rp5.340.112,00;2,67;52;84,64;4;5
EMP000103;Employee_103;Male;35;HR;HR Staff;01/12/2024;Active;;Diploma;Jakarta;Rp21.525.642,00;Rp15 jt - Rp25 jt;Rp1.423.813,00;4,15;44;93,45;1,5;5
EMP000104;Employee_104;Female;56;Marketing;SEO Specialist;01/04/2023;Active;;High School;Semarang;Rp31.384.454,00;>Rp25 jt;Rp6.465.391,00;3,32;59;75,84;3,2;1
EMP000105;Employee_105;Male;49;IT;System Admin;14/05/2018;Active;;Diploma;Medan;Rp15.211.414,00;Rp15 jt - Rp25 jt;Rp5.815.150,00;0;30;72,42;8,1;2
EMP000106;Employee_106;Male;57;Logistics;Supply Chain Analyst;12/12/2019;Active;;Master;Surabaya;Rp15.279.271,00;Rp15 jt - Rp25 jt;Rp9.931.021,00;2,65;35;93,44;6,5;1
EMP000107;Employee_107;Female;51;Customer Service;Call Center;20/06/2023;Active;;High School;Semarang;Rp24.748.102,00;Rp15 jt - Rp25 jt;Rp3.736.265,00;2,7;7;85,29;3;3
EMP000108;Employee_108;Male;48;Customer Service;Call Center;22/04/2025;Active;;Diploma;Jakarta;Rp12.046.350,00;Rp10 jt - Rp15 jt;Rp7.595.071,00;3,51;32;98,82;1,2;5
EMP000109;Employee_109;Female;28;IT;System Admin;10/04/2020;Active;;Bachelor;Bandung;Rp16.830.185,00;Rp15 jt - Rp25 jt;Rp5.395.653,00;2,99;25;86,16;6,2;5
EMP000110;Employee_110;Male;31;Customer Service;Call Center;26/11/2019;Active;;Master;Jakarta;Rp8.511.696,00;Rp5 jt - Rp10 jt;Rp2.636.682,00;2,99;24;75,85;6,6;2
EMP000111;Employee_111;Male;51;Finance;Financial Analyst;04/05/2019;Active;;Bachelor;Medan;Rp23.049.928,00;Rp15 jt - Rp25 jt;Rp5.899.556,00;4,35;29;85,86;7,1;2
EMP000112;Employee_112;Female;42;HR;Recruiter;18/07/2018;Resigned;16/10/2023;High School;Medan;Rp21.488.173,00;Rp15 jt - Rp25 jt;Rp2.685.292,00;4,79;59;96,68;5,2;5
EMP000113;Employee_113;Male;53;Logistics;Supply Chain Analyst;23/04/2019;Active;;Diploma;Jakarta;Rp19.601.893,00;Rp15 jt - Rp25 jt;Rp9.969.378,00;3,24;43;94,54;7,2;3
EMP000114;Employee_114;Male;43;Operations;Operations Staff;06/12/2019;Active;;Diploma;Medan;Rp14.924.167,00;Rp10 jt - Rp15 jt;Rp5.609.941,00;3,73;6;94,74;6,5;1
EMP000115;Employee_115;Male;58;Marketing;SEO Specialist;04/01/2025;Active;;Master;Jakarta;Rp15.166.260,00;Rp15 jt - Rp25 jt;Rp3.988.653,00;3,76;51;72,13;1,5;5
EMP000116;Employee_116;Male;34;Operations;Operations Manager;05/08/2021;Active;;Bachelor;Surabaya;Rp8.722.975,00;Rp5 jt - Rp10 jt;Rp1.069.391,00;2,57;4;76,24;4,9;1
EMP000117;Employee_117;Female;31;Sales;Sales Manager;08/06/2018;Resigned;26/07/2020;Master;Jakarta;Rp19.319.699,00;Rp15 jt - Rp25 jt;Rp6.677.740,00;3,74;0;98,01;2,1;5
EMP000118;Employee_118;Male;28;Finance;Financial Analyst;30/09/2021;Active;;Diploma;Bandung;Rp31.017.593,00;>Rp25 jt;Rp1.076.269,00;4,97;37;92,28;4,7;3
EMP000119;Employee_119;Male;35;Customer Service;Customer Support;30/03/2025;Active;;Bachelor;Bandung;Rp27.082.360,00;>Rp25 jt;Rp439.385,00;3,45;43;91,06;1,2;3
EMP000120;Employee_120;Male;39;Customer Service;Customer Support;28/08/2025;Resigned;Missing Resignation Date;Bachelor;Surabaya;Rp21.413.234,00;Rp15 jt - Rp25 jt;Rp5.300.680,00;3,42;39;98,5;0,8;1
EMP000121;Employee_121;Female;53;Operations;Operations Manager;10/12/2023;Active;;Diploma;Yogyakarta;Rp22.593.448,00;Rp15 jt - Rp25 jt;Rp3.085.404,00;3,16;38;98,02;2,5;5
EMP000122;Employee_122;Female;54;Marketing;Marketing Executive;05/08/2019;Active;;Diploma;Yogyakarta;Rp25.968.545,00;>Rp25 jt;Rp6.352.130,00;4,8;21;99,84;6,9;4
EMP000123;Employee_123;Male;29;Logistics;Warehouse Staff;15/07/2021;Active;;High School;Semarang;Rp5.853.511,00;Rp5 jt - Rp10 jt;Rp2.178.856,00;3,18;42;90,54;4,9;5
EMP000124;Employee_124;Female;22;Finance;Accountant;01/03/2018;Active;;Diploma;Yogyakarta;Rp31.384.641,00;>Rp25 jt;Rp5.191.955,00;3,57;34;80,47;8,3;1
EMP000125;Employee_125;Male;41;Finance;Financial Analyst;17/11/2022;Active;;Bachelor;Yogyakarta;Rp30.280.914,00;>Rp25 jt;Rp3.800.574,00;3,86;3;92,19;3,6;2
EMP000126;Employee_126;Female;49;HR;Recruiter;04/07/2020;Active;;Master;Jakarta;Rp34.676.026,00;>Rp25 jt;Rp7.935.988,00;4,46;8;92,2;6;4
EMP000127;Employee_127;Male;33;IT;Software Engineer;01/10/2019;Active;;High School;Medan;Rp13.694.486,00;Rp10 jt - Rp15 jt;Rp7.257.881,00;2,61;12;84,44;6,7;5
EMP000128;Employee_128;Female;33;Logistics;Warehouse Staff;12/12/2025;Active;;High School;Jakarta;Rp13.887.526,00;Rp10 jt - Rp15 jt;Rp8.981.344,00;3,83;4;90,11;0,5;5
EMP000129;Employee_129;Female;52;IT;System Admin;22/08/2025;Active;;Diploma;Surabaya;Rp20.495.775,00;Rp15 jt - Rp25 jt;Rp4.971.516,00;4,11;53;82,33;0,8;1
EMP000130;Employee_130;Male;31;Marketing;SEO Specialist;28/01/2019;Active;;Master;Medan;Rp4.441.620,00;<Rp5 jt;Rp127.132,00;3,57;22;75,61;7,4;2
EMP000131;Employee_131;Male;21;IT;Software Engineer;27/02/2023;Active;;Diploma;Semarang;Rp7.909.519,00;Rp5 jt - Rp10 jt;Rp165.871,00;4,21;7;88,53;3,3;1
EMP000132;Employee_132;Female;32;IT;Software Engineer;23/07/2021;Active;;Master;Semarang;Rp25.794.347,00;>Rp25 jt;Rp8.431.237,00;3,89;37;75,72;4,9;5
EMP000133;Employee_133;Male;48;IT;System Admin;24/01/2022;Active;;Bachelor;Yogyakarta;Rp5.314.371,00;Rp5 jt - Rp10 jt;Rp8.874.136,00;4,09;49;95,78;4,4;2
EMP000134;Employee_134;Male;30;Sales;Sales Manager;06/01/2020;Active;;High School;Jakarta;Rp6.176.447,00;Rp5 jt - Rp10 jt;Rp8.553.862,00;3,57;37;77,16;6,5;2
